,fighter1,win_fighter1,lose_fighter1,draw_fighter1,nc_fighter1,reach_fighter1,SLpM_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,Sub_Avg_fighter1,win%_fighter1
2806,Alan Jouban,16,6,0,0,"73""",5.41,3.48,60.0,0.52,50.0,0.0,72.72726999999999
2413,Alan Patrick,15,2,0,0,"74""",1.88,2.39,45.0,3.92,40.0,0.4,88.23529
2586,Albert Cheng,2,4,0,0,,1.0,2.6,71.0,0.0,0.0,0.0,33.333332
13,Albert Morales,7,4,1,0,"72""",3.81,3.96,56.0,0.91,35.0,0.2,58.33333199999999
2674,Albert Tumenov,17,4,0,0,"73""",3.76,3.34,58.0,0.2,20.0,0.0,80.95238
777,Alberto Crane,15,5,0,0,,0.43,2.61,57.0,0.0,0.0,4.0,75.0
3416,Alberto Mina,13,1,0,0,"77""",3.23,3.7,47.0,1.85,20.0,0.0,92.85714
3757,Alberto Uda,9,2,0,0,"77""",1.79,3.49,45.0,2.83,50.0,0.0,81.818184
100,Alejandro Perez,22,6,1,0,"67""",3.71,2.88,65.0,0.46,16.0,0.1,75.86206999999999
53,Aleksei Oleinik,54,11,1,0,"80""",3.06,3.28,53.0,2.99,39.0,2.7,81.818184
3767,Alessandro Ricci,10,5,0,0,"69""",2.48,2.53,64.0,0.0,0.0,0.0,66.666664
3949,Alessio Di Chirico,12,2,0,0,"74""",3.36,2.94,63.0,2.48,56.0,0.0,85.71429
533,Alessio Sakara,19,11,0,1,"72""",3.96,2.8,59.0,2.18,78.0,0.0,61.290319999999994
1582,Alex Caceres,14,11,0,1,"73""",3.86,2.78,63.0,0.57,75.0,0.8,53.846153
4136,Alex Chambers,5,5,0,0,"63""",2.97,5.1,50.0,2.31,41.0,1.0,50.0
2604,Alex Garcia,15,6,0,0,"72""",1.81,3.03,59.0,3.72,52.0,0.1,71.42857
3914,Alex Morono,14,5,0,1,"72""",3.66,2.4,64.0,0.0,0.0,0.6,70.0
3712,Alex Nicholson,7,4,0,0,"81""",4.12,4.65,47.0,0.0,0.0,0.5,63.636364
3186,Alex Oliveira,19,4,1,2,"76""",3.01,2.08,46.0,3.45,38.0,0.9,73.07692
4182,Alex Perez,21,4,0,0,"65""",5.25,3.08,61.0,3.68,43.0,2.1,84.0
131,Alex Reyes,13,3,0,0,"73""",4.56,8.35,38.0,0.0,0.0,0.0,81.25
1769,Alex Soto,6,2,1,0,"71""",2.95,5.02,59.0,2.82,30.0,0.0,66.666664
3080,Alex Torres,2,2,0,0,"70""",2.47,2.73,69.0,2.0,22.0,0.0,50.0
2646,Alex White,12,5,0,0,"71""",3.86,2.88,64.0,0.89,45.0,0.2,70.588234
96,Alexa Grasso,10,2,0,0,"66""",4.5,3.08,67.0,0.31,50.0,0.3,83.333336
1660,Alexander Gustafsson,18,4,0,0,"79""",4.18,3.4,52.0,1.76,40.0,0.5,81.818184
4293,Alexander Hernandez,10,1,0,0,"72""",2.99,1.47,46.0,3.82,40.0,0.0,90.90909
3861,Alexander Volkanovski,18,1,0,0,"71""",6.09,2.55,63.0,3.87,41.0,0.7,94.73684
25,Alexander Volkov,30,7,0,0,"80""",5.31,2.39,56.0,0.86,75.0,0.3,81.08108
2700,Alexander Yakovlev,23,8,1,0,"74""",1.89,2.73,56.0,1.23,30.0,0.0,71.875
92,Alexandra Albu,7,0,0,0,"63""",5.26,5.01,41.0,3.18,55.0,0.6,100.0
1054,Alexandre Barros,18,8,0,0,,0.98,4.05,36.0,1.84,50.0,0.0,69.23076999999999
257,Alexandre Dantas,0,2,0,0,,0.21,1.87,60.0,0.0,0.0,3.1,0.0
3875,Alexis Davis,19,8,0,0,"68""",4.18,4.16,55.0,0.8,38.0,1.0,70.37037
2770,Alexis Dufresne,5,4,0,0,"68""",1.33,3.33,60.0,1.5,50.0,0.0,55.55555699999999
28,Ali Bagautinov,14,5,0,0,"65""",2.85,3.09,52.0,2.51,36.0,0.3,73.68421
49,Alistair Overeem,43,17,0,1,"80""",3.53,1.93,61.0,1.39,62.0,1.0,70.49180600000001
2576,Aljamain Sterling,16,3,0,0,"71""",3.89,1.43,68.0,2.33,36.0,1.0,84.210526
4426,Allan Zuniga,13,2,0,0,"70""",3.93,1.8,61.0,0.0,0.0,1.0,86.666664
2502,Alptekin Ozkilic,9,4,0,0,"65""",3.81,5.72,59.0,4.21,58.0,0.0,69.23076999999999
106,Alvaro Herrera,9,6,0,0,"74""",1.89,3.4,55.0,0.0,0.0,1.1,60.0
767,Alvin Robinson,12,6,0,0,"68""",1.57,1.29,51.0,1.24,50.0,1.2,66.666664
3680,Amanda Cooper,4,5,0,0,"64""",3.55,3.2,51.0,1.53,38.0,1.8,44.444443
119,Amanda Nunes,16,4,0,0,"69""",4.55,2.88,56.0,1.82,40.0,0.6,80.0
1168,Amir Sadollah,7,5,0,0,"74""",4.71,3.55,60.0,0.57,27.0,0.3,58.33333199999999
2820,An Ying Wang,2,2,0,0,,1.32,1.63,44.0,0.0,0.0,0.0,50.0
582,Anderson Silva,34,8,0,1,"77""",3.1,1.87,62.0,0.55,77.0,0.9,79.06976999999999
4533,Andre Ewell,14,4,0,0,"76""",3.53,2.93,56.0,1.0,100.0,0.0,77.77778
166,Andre Fili,18,6,0,0,"74""",3.72,3.72,53.0,2.8,46.0,0.2,75.0
4181,Andre Soukhamthath,13,6,0,0,"70""",3.22,3.89,54.0,1.59,63.0,0.2,68.42105
1231,Andre Winner,13,6,1,0,"73""",2.52,4.57,51.0,0.0,0.0,0.0,65.0
4360,Andrea Lee,9,2,0,0,"69""",3.73,1.6,67.0,3.0,60.0,2.0,81.818184
261,Andrei Arlovski,27,17,0,1,"77""",3.13,2.62,57.0,0.61,37.0,0.3,60.0
291,Andrei Semenov,30,9,2,0,,0.78,2.44,60.0,1.74,80.0,0.4,73.17073
1875,Andrew Craig,9,4,0,0,"76""",2.39,3.01,50.0,0.53,37.0,0.0,69.23076999999999
118,Andrew Holbrook,12,3,0,0,"70""",2.2,3.0,54.0,0.85,18.0,2.1,80.0
4157,Andrew Sanchez,11,4,0,0,"74""",4.83,4.83,48.0,2.79,37.0,0.0,73.333336
2554,Andy Enz,8,3,0,0,"78""",3.51,5.32,57.0,0.0,0.0,0.0,72.72726999999999
2051,Andy Ogle,9,6,0,0,"69""",2.24,2.23,50.0,1.44,26.0,0.0,60.0
202,Angela Hill,8,5,0,0,"64""",5.79,5.39,63.0,0.42,60.0,0.0,61.53846
2979,Angela Magana,11,9,0,0,"65""",1.53,4.92,42.0,0.4,25.0,0.4,55.0
30,Anna Elmose,3,2,0,0,"65""",3.68,4.64,56.0,0.0,0.0,0.0,60.0
2993,Anthony Birchak,13,3,0,0,"69""",3.98,2.26,66.0,0.68,16.0,0.0,81.25
3036,Anthony Christodoulou,12,6,0,0,"72""",2.19,5.9,45.0,0.0,0.0,0.0,66.666664
137,Anthony Hamilton,15,9,0,0,"76""",3.91,3.02,45.0,2.62,42.0,0.0,62.5
895,Anthony Johnson,22,6,0,0,"78""",3.25,1.83,60.0,2.43,57.0,0.6,78.57143
2469,Anthony Lapsley,25,7,0,2,"71""",0.53,0.58,66.0,0.0,0.0,0.0,73.52941
1653,Anthony Njokuani,16,9,0,1,"75""",3.94,2.41,65.0,0.5,45.0,0.2,61.53846
677,Anthony Perosh,15,10,0,0,"75""",2.27,3.77,53.0,2.03,22.0,1.1,60.0
51,Anthony Pettis,21,8,0,0,"72""",2.85,3.16,54.0,0.76,54.0,1.3,72.413795
2916,Anthony Rocco Martin,14,4,0,0,"73""",2.81,2.96,56.0,1.0,25.0,1.3,77.77778
132,Anthony Smith,31,13,0,0,"76""",3.49,4.14,46.0,0.58,28.0,1.0,70.454544
792,Anthony Torres,5,2,0,0,,3.54,7.52,45.0,0.0,0.0,2.2,71.42857
2013,Anton Kuivanen,17,6,0,0,"72""",2.27,1.63,67.0,1.2,100.0,0.4,73.91304000000001
3689,Anton Zafir,7,3,0,0,"72""",2.99,2.31,52.0,6.11,60.0,0.0,70.0
657,Antoni Hardonk,8,6,0,0,"78""",3.4,3.07,46.0,0.0,0.0,0.9,57.14285699999999
4186,Antonio Braga Neto,9,3,0,1,"77""",1.36,3.92,45.0,3.07,37.0,0.5,69.23076999999999
177,Antonio Carlos Junior,11,2,0,1,"79""",2.11,1.85,54.0,3.75,46.0,1.1,78.57143
2208,Antonio Carvalho,15,6,0,0,"68""",3.03,3.62,64.0,0.0,0.0,0.0,71.42857
2999,Antonio Dos Santos,6,3,0,0,"72""",5.4,3.94,43.0,0.0,0.0,0.0,66.666664
1520,Antonio McKee,26,5,2,0,,1.37,0.74,74.0,1.47,33.0,0.0,78.78788
1055,Antonio Mendes,17,10,0,0,"77""",1.34,6.85,22.0,2.51,50.0,0.0,62.962963
1928,Antonio Silva,19,10,1,1,"80""",2.89,3.09,50.0,0.82,29.0,0.8,61.290319999999994
4329,Arjan Bhullar,8,1,0,0,"75""",2.16,2.38,61.0,1.62,66.0,0.0,88.888885
3224,Arnold Allen,13,1,0,0,"70""",2.12,1.78,57.0,2.21,57.0,0.8,92.85714
26,Artem Lobov,14,15,1,1,"65""",3.52,4.82,50.0,0.39,25.0,0.0,45.16129
3529,Ashlee Evans-Smith,6,3,0,0,"67""",4.97,3.7,61.0,1.14,27.0,0.0,66.666664
43,Ashley Yoder,6,4,0,0,"69""",2.67,3.65,51.0,1.25,50.0,0.8,60.0
168,Aspen Ladd,7,0,0,0,"66""",6.92,4.55,37.0,1.37,100.0,0.0,100.0
520,Assuerio Silva,15,8,0,1,,1.42,4.2,54.0,2.66,34.0,1.8,62.5
2941,Augusto Montano,15,3,0,0,"73""",3.46,2.66,56.0,0.0,0.0,0.0,83.333336
4239,Austin Arnett,16,5,0,0,"72""",4.35,5.93,62.0,0.56,18.0,0.3,76.190475
2271,Azamat Gashimov,10,3,0,0,"66""",1.24,4.75,53.0,1.69,25.0,0.0,76.92308
334,BJ Penn,16,12,2,0,"70""",2.71,3.12,56.0,1.24,55.0,0.5,53.33333199999999
4422,Barb Honchak,10,5,0,0,"65""",4.04,4.67,66.0,0.0,0.0,1.3,66.666664
1862,Bart Palaszewski,35,17,0,0,"70""",2.67,3.97,57.0,0.65,31.0,0.5,67.30769000000001
6,Bartosz Fabinski,14,3,0,0,"75""",2.22,1.35,53.0,7.17,70.0,0.0,82.35294
235,Bas Rutten,28,4,1,0,,5.59,2.06,79.0,0.0,0.0,0.0,84.84849
3156,Bec Rawlings,7,8,0,0,"64""",4.48,5.66,57.0,0.71,40.0,0.4,46.666668
3668,Belal Muhammad,14,2,0,0,"72""",4.63,3.94,60.0,2.48,39.0,0.2,87.5
3400,Ben Nguyen,17,7,0,0,"65""",3.82,3.3,54.0,0.33,33.0,1.3,70.833336
1211,Ben Rothwell,36,10,0,0,"78""",2.89,3.92,46.0,0.84,36.0,0.4,78.26087
833,Ben Saunders,22,11,2,0,"77""",3.19,3.58,51.0,0.22,40.0,1.0,62.85714300000001
2491,Ben Wall,7,2,1,0,"73""",1.47,8.53,29.0,0.0,0.0,0.0,70.0
2622,Beneil Dariush,15,4,1,0,"72""",3.92,2.64,61.0,1.47,30.0,0.8,75.0
4179,Benito Lopez,9,0,0,0,"73""",5.17,5.33,60.0,0.0,0.0,0.5,100.0
339,Benji Radach,21,7,0,1,,2.62,2.31,51.0,1.06,41.0,0.4,72.413795
2114,Benny Alloway,13,6,0,0,"75""",1.28,1.9,59.0,0.62,50.0,0.0,68.42105
1593,Benson Henderson,23,5,0,0,"70""",2.93,1.79,63.0,2.4,45.0,0.8,82.14286
3103,Bentley Syler,5,1,0,0,"68""",1.3,1.73,79.0,0.0,0.0,0.0,83.333336
1889,Besam Yousef,6,2,0,0,"71""",3.14,3.98,38.0,1.33,66.0,0.0,75.0
2486,Bethe Correia,10,3,1,0,"64""",4.34,3.87,59.0,0.48,25.0,0.0,71.42857
2168,Bobby Green,24,8,1,0,"71""",5.0,3.87,63.0,1.03,25.0,0.2,72.72726999999999
344,Bobby Hoffman,36,10,1,2,,2.02,1.32,19.0,1.17,50.0,1.2,73.46939
454,Bobby Southworth,10,6,0,1,,0.99,1.38,65.0,3.98,78.0,1.3,58.823530000000005
2322,Bobby Voelker,24,12,0,0,"75""",4.01,5.84,42.0,1.04,50.0,0.0,66.666664
117,Bojan Mihajlovic,10,6,0,0,"73""",1.23,5.95,47.0,0.0,0.0,0.0,62.5
111,Bojan Velickovic,15,6,1,0,"76""",2.18,2.31,57.0,0.67,25.0,0.5,68.181816
957,Brad Blackburn,18,13,1,1,"73""",4.55,3.59,65.0,0.93,50.0,0.7,54.54545600000001
506,Brad Imes,13,7,0,0,,2.73,4.24,49.0,1.72,71.0,1.0,65.0
2133,Brad Pickett,26,14,0,0,"68""",3.02,4.63,55.0,2.47,44.0,0.4,65.0
1517,Brad Tavares,17,6,0,0,"74""",3.02,2.73,55.0,1.04,27.0,0.0,73.91304000000001
3157,Bradley Scott,12,6,0,0,"76""",3.52,4.31,57.0,0.32,15.0,0.7,66.666664
535,Branden Lee Hinkle,15,11,0,1,,2.61,3.91,26.0,4.34,57.0,4.3,55.55555699999999
4222,Brandon Davis,9,5,0,0,"72""",4.97,4.36,64.0,0.22,33.0,0.0,64.28571
763,Brandon Melendez,26,21,0,0,,0.84,0.56,63.0,0.0,0.0,0.0,55.31915
95,Brandon Moreno,14,5,0,0,"70""",2.65,3.02,64.0,2.71,41.0,0.9,73.68421
2364,Brandon Thatch,11,5,0,0,"74""",2.7,3.63,52.0,1.36,66.0,0.7,68.75
566,Brandon Vera,12,7,0,1,"76""",3.03,2.81,52.0,0.7,53.0,0.2,60.0
1025,Brandon Wolff,7,5,0,0,,0.47,10.91,19.0,0.0,0.0,0.0,58.33333199999999
2815,Brendan O'Reilly,6,3,0,1,"69""",1.9,2.77,39.0,2.22,43.0,0.6,60.0
2188,Brendan Schaub,11,5,0,0,"78""",2.92,2.22,57.0,2.32,46.0,0.4,68.75
1651,Brian Bowles,10,3,0,0,"70""",2.36,2.98,64.0,1.39,70.0,1.4,76.92308
54,Brian Camozzi,7,5,0,0,"78""",3.15,6.39,54.0,0.0,0.0,0.7,58.33333199999999
1082,Brian Cobb,19,6,0,0,,0.0,3.68,55.0,5.81,50.0,0.0,76.0
1545,Brian Ebersole,51,17,1,1,"73""",2.32,2.14,56.0,1.7,23.0,0.1,72.85714
1438,Brian Foster,18,5,0,0,"71""",3.3,1.63,65.0,3.67,60.0,1.8,78.26087
2448,Brian Houston,4,2,0,0,"78""",1.9,3.67,53.0,0.95,100.0,0.0,66.666664
80,Brian Kelleher,19,9,0,0,"66""",5.06,5.98,54.0,1.29,28.0,0.7,67.85714
2359,Brian Melancon,7,3,0,0,"72""",4.18,3.64,64.0,2.02,100.0,0.0,70.0
3198,Brian Ortega,14,0,0,1,"69""",3.65,5.27,56.0,0.22,14.0,1.8,93.333336
1111,Brian Stann,12,6,0,0,"74""",3.28,2.65,59.0,0.12,12.0,0.3,66.666664
2235,Bristol Marunde,12,9,0,0,"71""",1.42,4.4,47.0,1.6,33.0,0.0,57.14285699999999
1967,Brock Jardine,9,3,0,0,"73""",1.06,3.34,56.0,0.0,0.0,0.8,75.0
496,Brock Larson,33,6,0,0,"71""",1.39,1.5,55.0,2.67,34.0,2.0,84.61539
960,Brock Lesnar,5,3,0,1,"81""",3.53,2.11,50.0,3.9,55.0,0.5,55.55555699999999
3387,Bruno Korea,4,2,0,0,"65""",2.01,3.42,40.0,0.0,0.0,0.0,66.666664
2898,Bruno Santos,14,2,0,0,"69""",1.18,2.27,56.0,3.0,37.0,0.3,87.5
110,Bryan Barberena,14,5,0,0,"72""",4.98,3.71,49.0,0.34,40.0,0.3,73.68421
2011,Bryan Caraway,21,9,0,0,"68""",2.43,3.43,54.0,2.62,26.0,0.8,70.0
4427,Bryce Mitchell,10,1,0,0,,2.53,3.4,52.0,3.0,30.0,1.0,90.90909
2362,Bubba McDaniel,21,8,0,0,"75""",1.64,1.98,56.0,0.93,50.0,1.4,72.413795
1958,Buddy Roberts,12,3,0,0,,2.17,2.08,70.0,0.0,0.0,0.7,80.0
45,CB Dollaway,18,10,0,0,"76""",2.65,2.58,54.0,3.55,54.0,1.2,64.28571
2840,Cain Carrizosa,6,2,0,0,"74""",2.72,5.8,51.0,0.0,0.0,0.0,75.0
905,Cain Velasquez,14,2,0,0,"77""",6.38,2.29,57.0,5.15,45.0,0.4,87.5
2296,Caio Magalhaes,9,3,0,0,"73""",2.27,2.78,56.0,1.05,15.0,1.6,75.0
91,Calvin Kattar,19,3,0,0,"72""",5.03,6.66,55.0,0.67,33.0,0.0,86.36364
1153,Cameron Dollar,9,4,0,0,,5.04,2.94,61.0,0.0,0.0,0.0,69.23076999999999
273,Caol Uno,26,15,5,0,"70""",1.91,1.9,50.0,1.95,31.0,0.5,56.52174
3082,Carla Esparza,14,6,0,0,"63""",2.2,3.07,53.0,3.4,35.0,0.4,70.0
4377,Carlo Pedersoli,11,2,0,0,"75""",4.41,4.15,60.0,2.88,75.0,0.0,84.61539
1923,Carlo Prater,30,12,1,0,"72""",2.03,4.07,35.0,0.43,9.0,1.7,69.76744000000001
1097,Carlos Condit,30,12,0,0,"75""",3.62,2.36,57.0,0.59,55.0,1.1,71.42857
1479,Carlos Eduardo Rocha,9,2,0,0,"70""",1.24,1.85,55.0,0.0,0.0,1.4,81.818184
309,Carlos Newton,16,14,0,0,,0.65,1.55,44.0,2.47,70.0,0.9,53.33333199999999
4111,Carls John De Tomas,8,2,0,0,"71""",1.74,3.93,44.0,1.37,33.0,0.0,80.0
638,Carmelo Marrero,14,5,0,1,"73""",0.84,2.04,54.0,3.21,36.0,0.9,70.0
2877,Cat Zingano,10,3,0,0,"68""",2.56,1.61,46.0,2.81,65.0,0.9,76.92308
2891,Cathal Pendred,17,5,1,0,"75""",2.49,3.01,55.0,2.46,23.0,0.4,73.91304000000001
3,Cezar Ferreira,14,7,0,0,"78""",1.83,2.14,55.0,2.97,59.0,0.5,66.666664
2629,Chad Laprise,14,3,0,0,"71""",4.77,3.6,64.0,1.07,54.0,0.0,82.35294
2112,Chad Mendes,18,4,0,0,"66""",2.76,2.14,68.0,4.08,54.0,0.3,81.818184
749,Chad Reiner,28,13,0,0,,0.53,1.97,46.0,0.99,33.0,2.0,68.29269000000001
553,Chael Sonnen,29,14,1,0,"74""",3.08,1.1,62.0,3.81,59.0,0.4,65.90909
1779,Chan Sung Jung,14,5,0,0,"72""",4.12,3.81,60.0,0.81,41.0,0.7,73.68421
4388,Chance Rencountre,12,3,0,0,"75""",1.07,4.67,46.0,0.0,0.0,0.0,80.0
147,Chanmi Jeon,5,2,0,0,"67""",6.23,7.77,55.0,0.0,0.0,0.0,71.42857
4303,Charles Byrd,10,5,0,0,"73""",3.92,1.59,62.0,2.58,57.0,1.9,66.666664
474,Charles McCarthy,10,5,0,0,"71""",0.18,4.03,56.0,2.67,60.0,2.7,66.666664
1406,Charles Oliveira,24,8,0,1,"74""",3.04,3.0,54.0,2.87,41.0,2.8,72.72726999999999
3210,Charles Rosa,11,3,0,0,"69""",3.85,4.0,51.0,2.93,34.0,1.1,78.57143
1333,Charlie Brenneman,19,8,0,0,"72""",1.52,1.55,46.0,4.23,42.0,0.0,70.37037
1597,Charlie Valencia,12,7,0,0,"64""",2.58,2.61,77.0,1.4,53.0,0.5,63.15789399999999
2650,Chas Skelly,17,4,0,0,"72""",2.12,3.49,47.0,1.83,34.0,2.3,80.95238
1220,Chase Gormley,7,4,0,1,,3.6,6.03,44.0,3.12,42.0,1.0,58.33333199999999
3745,Chase Sherman,11,6,0,0,"78""",5.81,5.76,51.0,0.0,0.0,0.0,64.70588000000001
1752,Che Mills,15,5,0,2,"76""",2.08,2.87,43.0,1.18,66.0,0.0,68.181816
597,Cheick Kongo,29,9,2,0,"82""",3.33,1.28,54.0,2.3,56.0,0.2,72.5
2030,Chico Camus,14,7,0,1,"66""",2.58,2.46,64.0,0.77,40.0,0.4,63.636364
3753,Chris Avila,5,4,0,0,"72""",2.37,4.17,48.0,0.0,0.0,0.0,55.55555699999999
2661,Chris Beal,10,3,0,0,"69""",3.45,3.18,61.0,1.6,58.0,0.2,76.92308
1385,Chris Camozzi,24,13,0,0,"76""",3.57,2.96,56.0,0.27,19.0,0.5,64.86487
1867,Chris Cariaso,17,8,0,0,"63""",3.35,2.23,61.0,1.11,39.0,0.8,68.0
1615,Chris Cope,5,4,0,0,"72""",3.96,4.82,50.0,0.0,0.0,0.0,55.55555699999999
3136,Chris Dempsey,11,4,0,0,"72""",2.25,2.82,65.0,2.64,23.0,0.0,73.333336
4563,Chris Fishgold,17,2,1,0,,4.78,5.74,50.0,3.59,50.0,0.0,85.0
4185,Chris Gruetzemacher,14,3,0,0,"68""",7.12,5.09,56.0,0.0,0.0,0.0,82.35294
2474,Chris Holdsworth,7,0,0,0,"71""",1.85,1.94,58.0,3.38,62.0,2.0,100.0
2737,Chris Indich,5,3,0,0,"73""",1.31,4.32,43.0,0.75,50.0,1.5,62.5
3331,Chris Kelades,9,3,0,0,"68""",2.4,2.64,48.0,1.04,18.0,0.3,75.0
455,Chris Leben,22,11,0,0,"74""",2.87,2.87,52.0,1.14,41.0,0.8,66.666664
400,Chris Liguori,13,9,0,0,,0.29,1.44,0.0,0.0,0.0,0.0,59.090908
264,Chris Lytle,31,18,5,0,"68""",3.76,3.03,58.0,0.7,55.0,2.4,57.40740600000001
627,Chris Price,18,3,0,0,,1.44,2.59,48.0,0.0,0.0,2.2,85.71429
1182,Chris Tuchscherer,21,4,0,1,"76""",1.35,3.17,47.0,1.19,18.0,0.6,80.76923000000001
83,Chris Wade,12,3,0,0,"70""",1.7,1.75,51.0,2.6,51.0,1.1,80.0
71,Chris Weidman,14,4,0,0,"78""",3.15,3.23,51.0,3.76,52.0,1.0,77.77778
967,Chris Wilson,16,8,0,1,"75""",2.32,1.36,55.0,1.31,50.0,1.6,64.0
3640,Chris de la Rocha,4,2,0,0,"80""",4.28,5.51,46.0,2.41,27.0,1.6,66.666664
21,Christian Colombo,8,3,1,0,"80""",2.76,4.02,42.0,0.0,0.0,0.0,66.666664
1417,Christian Morecraft,7,3,0,0,"81""",2.82,2.46,46.0,3.26,66.0,2.2,70.0
809,Christian Wellisch,8,5,0,0,"77""",3.12,3.04,56.0,1.22,42.0,1.2,61.53846
2915,Christos Giagos,15,7,0,0,"71""",2.16,2.13,50.0,0.48,20.0,0.5,68.181816
239,Chuck Liddell,21,8,0,0,"76""",2.97,2.71,56.0,0.44,75.0,0.0,72.413795
1375,Claude Patrick,14,2,0,0,"75""",1.8,0.89,69.0,2.32,53.0,1.7,87.5
2986,Claudia Gadelha,16,3,0,0,"63""",3.23,4.47,57.0,3.94,52.0,1.0,84.210526
2594,Claudio Silva,12,1,0,0,"71""",2.55,2.32,45.0,3.04,25.0,0.9,92.30769000000001
3342,Clay Collard,14,7,0,1,"73""",4.22,5.0,50.0,2.81,39.0,0.5,63.636364
198,Clay Guida,34,15,0,0,"70""",2.33,2.39,65.0,3.43,37.0,0.7,69.38776
1758,Clay Harvison,9,3,0,0,"74""",3.29,3.91,58.0,0.66,100.0,1.3,75.0
1841,Clifford Starks,8,2,0,0,"77""",1.94,2.49,58.0,1.94,100.0,0.0,80.0
2745,Clint Hester,11,6,0,0,"77""",3.36,3.44,56.0,1.02,35.0,0.0,64.70588000000001
2355,Cody Donovan,8,5,0,0,"74""",5.61,5.44,45.0,1.67,28.0,1.7,61.53846
3822,Cody East,12,3,0,0,"74""",4.15,7.32,40.0,3.97,100.0,0.0,80.0
183,Cody Garbrandt,11,2,0,0,"65""",3.48,3.43,66.0,1.0,33.0,0.0,84.61539
3069,Cody Gibson,12,6,0,0,"71""",2.47,2.54,63.0,1.85,38.0,0.4,66.666664
1496,Cody McKenzie,14,4,0,0,"72""",1.74,2.5,67.0,2.5,25.0,2.5,77.77778
3427,Cody Pfister,12,6,1,0,"73""",1.41,2.8,51.0,2.82,30.0,0.0,63.15789399999999
57,Cody Stamann,17,2,0,0,"64""",4.97,3.45,62.0,4.19,71.0,0.0,89.47369
171,Colby Covington,14,1,0,0,"72""",3.26,2.2,57.0,5.63,51.0,0.2,93.333336
1760,Cole Escovedo,17,8,0,0,"72""",1.82,4.85,45.0,0.55,40.0,0.0,68.0
764,Cole Miller,21,11,0,1,"74""",3.0,3.88,59.0,0.6,36.0,1.8,63.636364
2206,Colin Fletcher,9,3,0,0,"78""",3.1,2.97,62.0,0.0,0.0,0.0,75.0
757,Colin Robinson,9,10,0,0,,6.19,7.91,37.0,2.58,100.0,5.2,47.36842
2233,Collin Hart,4,2,1,0,"76""",6.33,7.53,51.0,2.0,16.0,0.0,57.14285699999999
2118,Colton Smith,6,4,0,0,"71""",1.64,2.3,51.0,4.09,36.0,1.4,60.0
2351,Conor McGregor,21,4,0,0,"74""",5.27,4.43,55.0,0.75,62.0,0.0,84.0
189,Corey Anderson,12,4,0,0,"79""",4.55,2.2,59.0,5.48,52.0,0.0,75.0
947,Corey Hill,4,4,0,0,"80""",3.57,1.61,70.0,3.02,80.0,0.0,50.0
14,Cortney Casey,8,6,0,0,"67""",4.8,4.63,52.0,0.4,30.0,0.5,57.14285699999999
3686,Cory Hendricks,3,1,0,0,,3.13,4.07,42.0,0.0,0.0,0.0,75.0
1575,Costas Philippou,13,5,0,1,"73""",2.19,2.73,54.0,0.4,42.0,0.3,68.42105
2009,Court McGee,20,7,0,0,"75""",4.72,3.43,63.0,1.98,24.0,0.5,74.07406999999999
630,Crafton Wallace,18,6,1,0,,1.55,2.36,47.0,0.0,0.0,0.0,72.0
