,fighter1,win_fighter1,lose_fighter1,draw_fighter1,nc_fighter1,reach_fighter1,SLpM_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,Sub_Avg_fighter1,win%_fighter1
361,Aaron Riley,29,14,1,0,"69""",3.45,3.78,61.0,1.18,34.0,0.1,65.90909
1632,Aaron Rosa,17,5,0,0,"78""",4.03,4.41,45.0,0.36,33.0,0.4,77.27273000000001
1274,Aaron Simpson,11,4,0,0,"73""",3.6,2.53,56.0,3.78,34.0,0.5,73.333336
35,Abdul Razak Alhassan,10,1,0,0,"73""",4.59,4.2,59.0,0.57,33.0,0.0,90.90909
2501,Abel Trujillo,15,8,0,1,"70""",2.65,2.31,59.0,2.18,45.0,0.4,62.5
3445,Abner Lloveras,19,8,1,0,"71""",6.27,6.87,43.0,2.0,20.0,0.0,67.85714
2221,Adam Cella,4,2,0,0,"78""",1.91,2.61,51.0,3.92,75.0,1.3,66.666664
4298,Adam Milstead,8,2,0,1,"76""",3.9,4.1,48.0,0.0,0.0,0.0,72.72726999999999
4138,Adam Wieczorek,10,2,0,0,"81""",1.68,1.87,48.0,0.41,33.0,0.4,83.333336
4527,Adam Yandiev,9,1,0,0,"74""",0.18,6.14,36.0,0.0,0.0,0.0,90.0
2222,Adlan Amagov,13,2,1,0,"76""",3.29,0.82,78.0,5.84,56.0,0.0,81.25
2458,Adriano Martins,28,9,0,0,"72""",1.8,2.14,65.0,0.83,80.0,0.4,75.675674
192,Aiemann Zahabi,7,1,0,0,"68""",3.34,3.93,62.0,0.0,0.0,0.0,87.5
2980,Aisling Daly,16,6,0,0,"64""",2.92,1.4,55.0,2.15,41.0,0.9,72.72726999999999
2799,Akbarh Arreola,23,10,1,0,"71""",2.32,4.01,56.0,1.07,100.0,0.4,67.64706
2630,Akira Corassani,14,7,0,1,"68""",3.25,4.91,50.0,0.7,28.0,0.0,63.636364
1940,Al Iaquinta,13,4,1,0,"70""",4.28,4.04,62.0,0.98,28.0,0.4,72.22222
717,Alan Belcher,17,7,0,0,"73""",2.7,3.1,59.0,0.44,26.0,0.9,70.833336
