,fighter2,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,reach_fighter2,SLpM_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,Sub_Avg_fighter2,win%_fighter2
765,Allen Berube,4,3,0,0,,0.92,0.92,33.0,6.87,100.0,3.4,57.14285699999999
4173,Allen Crowder,9,3,0,1,"76""",3.58,2.33,60.0,1.79,33.0,0.9,69.23076999999999
2775,Alptekin Ozkilic,9,4,0,0,"65""",3.81,5.72,59.0,4.21,58.0,0.0,69.23076999999999
3411,Alvaro Herrera,9,6,0,0,"74""",1.89,3.4,55.0,0.0,0.0,1.1,60.0
30,Amanda Cooper,4,5,0,0,"64""",3.55,3.2,51.0,1.53,38.0,1.8,44.444443
70,Amanda Lemos,6,1,1,0,"65""",8.63,12.81,47.0,1.9,100.0,0.0,75.0
2445,Amanda Nunes,16,4,0,0,"69""",4.55,2.88,56.0,1.82,40.0,0.6,80.0
290,Amar Suloev,24,7,0,0,,1.98,2.19,70.0,0.27,100.0,0.3,77.41936
1428,Amilcar Alves,11,4,0,0,,0.5,2.02,30.0,0.0,0.0,0.0,73.333336
930,Amir Sadollah,7,5,0,0,"74""",4.71,3.55,60.0,0.57,27.0,0.3,58.33333199999999
2586,An Ying Wang,2,2,0,0,,1.32,1.63,44.0,0.0,0.0,0.0,50.0
11,Anderson Dos Santos,20,7,0,0,"67""",3.07,5.6,54.0,0.0,0.0,1.0,74.07406999999999
635,Anderson Silva,34,8,0,1,"77""",3.1,1.87,62.0,0.55,77.0,0.9,79.06976999999999
91,Andre Fili,18,6,0,0,"74""",3.72,3.72,53.0,2.8,46.0,0.2,75.0
966,Andre Gusmao,6,3,0,0,,2.79,3.28,60.0,0.0,0.0,0.0,66.666664
100,Andre Soukhamthath,13,6,0,0,"70""",3.22,3.89,54.0,1.59,63.0,0.2,68.42105
1147,Andre Winner,13,6,1,0,"73""",2.52,4.57,51.0,0.0,0.0,0.0,65.0
2800,Andreas Stahl,9,2,0,0,"73""",2.83,4.74,57.0,1.55,66.0,0.0,81.818184
195,Andrei Arlovski,27,17,0,1,"77""",3.13,2.62,57.0,0.61,37.0,0.3,60.0
360,Andrei Semenov,30,9,2,0,,0.78,2.44,60.0,1.74,80.0,0.4,73.17073
2002,Andrew Craig,9,4,0,0,"76""",2.39,3.01,50.0,0.53,37.0,0.0,69.23076999999999
3293,Andrew Holbrook,12,3,0,0,"70""",2.2,3.0,54.0,0.85,18.0,2.1,80.0
3679,Andrew Sanchez,11,4,0,0,"74""",4.83,4.83,48.0,2.79,37.0,0.0,73.333336
2179,Andy Ogle,9,6,0,0,"69""",2.24,2.23,50.0,1.44,26.0,0.0,60.0
764,Andy Wang,7,8,1,1,,3.43,10.29,62.0,0.0,0.0,0.0,41.17647
43,Angela Hill,8,5,0,0,"64""",5.79,5.39,63.0,0.42,60.0,0.0,61.53846
1978,Anistavio Medeiros,15,8,0,0,,3.64,5.0,47.0,0.0,0.0,0.0,65.21739000000001
518,Ansar Chalangov,14,4,0,0,,0.68,1.69,54.0,0.0,0.0,7.6,77.77778
3199,Anthony Birchak,13,3,0,0,"69""",3.98,2.26,66.0,0.68,16.0,0.0,81.25
3321,Anthony Christodoulou,12,6,0,0,"72""",2.19,5.9,45.0,0.0,0.0,0.0,66.666664
2751,Anthony Hamilton,15,9,0,0,"76""",3.91,3.02,45.0,2.62,42.0,0.0,62.5
749,Anthony Johnson,22,6,0,0,"78""",3.25,1.83,60.0,2.43,57.0,0.6,78.57143
2674,Anthony Lapsley,25,7,0,2,"71""",0.53,0.58,66.0,0.0,0.0,0.0,73.52941
1571,Anthony Njokuani,16,9,0,1,"75""",3.94,2.41,65.0,0.5,45.0,0.2,61.53846
596,Anthony Perosh,15,10,0,0,"75""",2.27,3.77,53.0,2.03,22.0,1.1,60.0
1612,Anthony Pettis,21,8,0,0,"72""",2.85,3.16,54.0,0.76,54.0,1.3,72.413795
136,Anthony Rocco Martin,14,4,0,0,"73""",2.81,2.96,56.0,1.0,25.0,1.3,77.77778
4401,Anthony Smith,31,13,0,0,"76""",3.49,4.14,46.0,0.58,28.0,1.0,70.454544
607,Anthony Torres,5,2,0,0,,3.54,7.52,45.0,0.0,0.0,2.2,71.42857
1855,Anton Kuivanen,17,6,0,0,"72""",2.27,1.63,67.0,1.2,100.0,0.4,73.91304000000001
3399,Anton Zafir,7,3,0,0,"72""",2.99,2.31,52.0,6.11,60.0,0.0,70.0
705,Antoni Hardonk,8,6,0,0,"78""",3.4,3.07,46.0,0.0,0.0,0.9,57.14285699999999
1536,Antonio Banuelos,19,7,1,0,"63""",2.71,3.3,58.0,1.38,58.0,0.4,70.37037
2297,Antonio Braga Neto,9,3,0,1,"77""",1.36,3.92,45.0,3.07,37.0,0.5,69.23076999999999
3231,Antonio Carlos Junior,11,2,0,1,"79""",2.11,1.85,54.0,3.75,46.0,1.1,78.57143
1816,Antonio Carvalho,15,6,0,0,"68""",3.03,3.62,64.0,0.0,0.0,0.0,71.42857
3226,Antonio Dos Santos,6,3,0,0,"72""",5.4,3.94,43.0,0.0,0.0,0.0,66.666664
911,Antonio Mendes,17,10,0,0,"77""",1.34,6.85,22.0,2.51,50.0,0.0,62.962963
2274,Antonio Silva,19,10,1,1,"80""",2.89,3.09,50.0,0.82,29.0,0.8,61.290319999999994
4159,Ariel Beck,4,5,0,0,"66""",4.44,4.31,64.0,0.0,0.0,0.0,44.444443
128,Arjan Bhullar,8,1,0,0,"75""",2.16,2.38,61.0,1.62,66.0,0.0,88.888885
3539,Arnold Allen,13,1,0,0,"70""",2.12,1.78,57.0,2.21,57.0,0.8,92.85714
166,Artem Lobov,14,15,1,1,"65""",3.52,4.82,50.0,0.39,25.0,0.0,45.16129
4098,Ashkan Mokhtarian,13,3,0,0,"67""",1.95,3.66,43.0,0.54,16.0,0.0,81.25
125,Ashlee Evans-Smith,6,3,0,0,"67""",4.97,3.7,61.0,1.14,27.0,0.0,66.666664
566,Assuerio Silva,15,8,0,1,,1.42,4.2,54.0,2.66,34.0,1.8,62.5
3521,Augusto Mendes,6,2,0,0,"65""",2.42,3.91,56.0,1.75,33.0,0.0,75.0
3216,Augusto Montano,15,3,0,0,"73""",3.46,2.66,56.0,0.0,0.0,0.0,83.333336
4537,Augusto Sakai,12,1,1,0,,6.17,3.33,58.0,0.32,100.0,0.0,85.71429
8,Austin Arnett,16,5,0,0,"72""",4.35,5.93,62.0,0.56,18.0,0.3,76.190475
2095,Azamat Gashimov,10,3,0,0,"66""",1.24,4.75,53.0,1.69,25.0,0.0,76.92308
287,BJ Penn,16,12,2,0,"70""",2.71,3.12,56.0,1.24,55.0,0.5,53.33333199999999
